SCATS Number,Location,Date,Lane Points
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,94
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,82
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,49
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,64
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,48
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,50
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,46
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,27
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,44
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,48
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,35
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,30
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,35
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,31
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,24
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,18
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,23
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,25
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,28
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,42
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,22
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,32
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,40
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,38
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,30
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,61
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,70
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,48
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,56
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,67
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,72
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,81
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,77
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,91
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,114
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,107
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,135
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,167
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,179
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,221
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,196
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,183
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,242
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,198
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,191
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,175
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,196
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,177
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,215
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,229
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,174
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,252
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,242
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,214
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,236
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,223
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,231
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,200
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,219
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,191
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,211
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,202
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,222
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,227
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,215
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,244
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,251
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,237
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,254
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,220
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,236
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,206
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,216
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,213
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,176
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,175
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,136
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,128
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,124
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,110
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,127
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,132
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,88
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,95
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,102
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,108
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,112
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,103
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,84
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,88
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,77
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,55
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,51
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,53
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,43
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-01 00:00:00,47
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,46
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,33
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,20
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,11
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,19
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,9
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,12
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,16
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,12
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,9
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,5
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,14
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,21
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,18
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,22
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,42
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,35
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,71
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,85
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,108
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,157
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,205
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,312
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,346
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,393
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,457
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,452
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,418
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,402
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,401
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,354
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,323
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,268
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,195
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,213
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,201
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,194
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,200
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,193
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,186
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,185
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,189
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,181
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,191
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,217
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,182
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,180
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,154
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,182
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,206
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,173
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,180
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,181
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,193
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,170
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,182
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,190
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,165
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,202
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,196
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,247
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,228
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,252
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,215
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,273
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,263
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,289
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,256
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,246
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,234
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,231
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,176
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,185
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,153
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,150
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,141
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,135
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,146
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,111
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,119
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,117
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,88
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,117
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,121
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,80
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,84
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,79
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,65
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,68
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,48
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,51
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-02 00:15:00,33
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,28
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,28
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,18
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,14
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,15
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,14
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,11
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,12
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,13
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,10
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,9
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,7
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,15
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,16
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,9
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,17
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,29
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,32
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,37
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,68
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,108
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,134
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,182
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,281
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,391
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,375
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,465
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,491
2000,BURWOOD_HWY E of WARRIGAL_RD,2006-10-03 00:30:00,421
