SCATS Number,Location,Date,Lane Points
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,84
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,75
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,73
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,50
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,46
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,43
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,33
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,38
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,36
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,33
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,27
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,28
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,26
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,23
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,23
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,17
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,21
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,15
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,18
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,20
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,27
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,15
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,21
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,16
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,18
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,31
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,32
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,33
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,41
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,45
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,45
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,45
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,46
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,54
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,61
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,85
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,81
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,96
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,137
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,131
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,134
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,131
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,147
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,183
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,173
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,199
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,171
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,200
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,210
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,199
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,201
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,193
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,189
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,205
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,229
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,189
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,165
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,197
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,215
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,202
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,194
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,185
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,192
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,204
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,201
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,219
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,200
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,222
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,218
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,232
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,249
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,222
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,207
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,180
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,179
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,153
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,136
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,111
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,112
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,102
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,109
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,114
