SCATS Number,Location,Date,Lane Points
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,18
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,25
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,23
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,20
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,10
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,10
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,11
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,13
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,3
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,11
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,11
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,1
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,2
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,10
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,2
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,5
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,3
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,8
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,13
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,9
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,16
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,19
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,24
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,26
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,21
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,18
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,32
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,50
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,64
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,57
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,72
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,79
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,65
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,85
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,92
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,102
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,83
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,82
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,77
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,75
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,101
