SCATS Number,Location,Date,Lane Points
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,23
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,21
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,23
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,20
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,18
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,10
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,12
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,9
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,9
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,10
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,3
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,14
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,16
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,17
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,18
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,12
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,24
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,19
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,28
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,18
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,31
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,43
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,34
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,41
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,39
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,53
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,67
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,72
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,61
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,46
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,69
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,63
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,70
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,76
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,70
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,77
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,77
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,69
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,68
